,number,value,datetime_start,datetime_complete,duration,params_activation,params_filters,params_kernel_size,params_padding,params_strides,system_attrs_nsga2:generation,system_attrs_nsga2:parents,state
0,0,0.629999995,06:08.0,06:17.2,0 days 00:00:09.211534,swish,32,1,causal,2,0,,COMPLETE
1,1,0.606999993,06:17.2,06:27.5,0 days 00:00:10.287612,relu,64,2,causal,2,0,,COMPLETE
2,2,0.601000011,06:27.5,06:37.3,0 days 00:00:09.724301,relu,32,1,same,2,0,,COMPLETE
3,3,0.598999977,06:37.3,06:47.1,0 days 00:00:09.871085,relu,32,2,valid,1,0,,COMPLETE
4,4,0.595000029,06:47.1,06:56.9,0 days 00:00:09.733444,relu,64,2,causal,2,0,,COMPLETE
5,5,0.595000029,06:56.9,07:06.6,0 days 00:00:09.691673,elu,32,2,causal,1,0,,COMPLETE
6,6,0.595000029,07:06.6,07:16.2,0 days 00:00:09.621327,swish,64,1,valid,2,0,,COMPLETE
7,7,0.592999995,07:16.2,07:30.0,0 days 00:00:13.851733,swish,64,1,causal,2,0,,COMPLETE
8,8,0.592999995,07:30.0,07:39.9,0 days 00:00:09.881928,elu,32,2,same,1,0,,COMPLETE
9,9,0.592000008,07:39.9,07:50.2,0 days 00:00:10.244256,elu,32,1,causal,2,0,,COMPLETE
10,10,0.591000021,07:50.2,08:00.5,0 days 00:00:10.323625,swish,64,1,causal,1,0,,COMPLETE
11,11,0.591000021,08:00.5,08:10.2,0 days 00:00:09.713676,swish,64,2,same,2,0,,COMPLETE
12,12,0.589999974,08:10.2,08:20.5,0 days 00:00:10.274951,elu,32,1,causal,1,0,,COMPLETE
13,13,0.588999987,08:20.5,08:29.7,0 days 00:00:09.212085,relu,64,2,valid,1,0,,COMPLETE
14,14,0.587000012,08:29.7,08:39.0,0 days 00:00:09.328706,relu,64,2,valid,1,0,,COMPLETE
15,15,0.587000012,08:39.0,08:51.7,0 days 00:00:12.682332,elu,32,1,same,1,0,,COMPLETE
16,16,0.586000025,08:51.7,09:00.7,0 days 00:00:08.972216,swish,64,2,valid,2,0,,COMPLETE
17,17,0.586000025,09:00.7,09:10.4,0 days 00:00:09.716817,elu,32,1,causal,1,0,,COMPLETE
18,18,0.584999979,09:10.4,09:19.4,0 days 00:00:08.994545,swish,32,2,same,2,0,,COMPLETE
19,19,0.583999991,09:19.4,09:28.3,0 days 00:00:08.939845,relu,64,1,same,2,0,,COMPLETE
20,20,0.583999991,09:28.3,09:37.7,0 days 00:00:09.377819,swish,32,2,causal,2,0,,COMPLETE
21,21,0.582000017,09:37.7,09:46.8,0 days 00:00:09.060350,swish,32,1,causal,1,0,,COMPLETE
22,22,0.58099997,09:46.8,09:56.6,0 days 00:00:09.770896,swish,32,1,valid,1,0,,COMPLETE
23,23,0.58099997,09:56.6,10:05.3,0 days 00:00:08.705447,elu,32,1,causal,2,0,,COMPLETE
24,24,0.575999975,10:05.3,10:14.2,0 days 00:00:08.965490,elu,32,1,same,1,0,,COMPLETE
25,25,0.575999975,10:14.2,10:23.2,0 days 00:00:08.999159,elu,32,2,same,1,0,,COMPLETE
26,26,0.574999988,10:23.2,10:31.9,0 days 00:00:08.664714,elu,32,2,valid,2,0,,COMPLETE
27,27,0.574999988,10:31.9,10:41.0,0 days 00:00:09.094304,relu,32,2,same,1,0,,COMPLETE
28,28,0.574000001,10:41.0,10:51.2,0 days 00:00:10.174465,swish,32,1,causal,2,0,,COMPLETE
29,29,0.573000014,10:51.2,11:04.4,0 days 00:00:13.179186,swish,32,1,causal,2,0,,COMPLETE
30,30,0.573000014,11:04.4,11:14.5,0 days 00:00:10.158488,relu,64,2,causal,1,0,,COMPLETE
31,31,0.573000014,11:14.5,11:24.6,0 days 00:00:10.067142,elu,32,1,causal,1,0,,COMPLETE
32,32,0.572000027,11:24.6,11:34.3,0 days 00:00:09.723367,relu,32,1,same,1,0,,COMPLETE
